"S.N","Branch.Name","BRANCH.UPDATED","City","State","lat","long"
1,"ABA MAIN","7, ABA-OWERRI ROAD P.M.B 7477, ABA","ABA","ABIA",5.1206532,7.3678962
2,"ABA ROAD BUILDING","171, ABA ROAD, PORT HARCOURT RIVERS STATE","ABA ROAD","RIVERS",4.8175242,7.0097739
3,"ABAKALIKI","10 OGOJA ROAD","ABAKALIKI","EBONYI",6.3159672,8.1274925
4,"ABEOKUTA","2A, LANTORO ROAD ISALE AKE","ABEOKUTA","OGUN",7.1650091,3.358296
5,"ABUJA SERVICE CENTRE","NO. 75, RALPH SHODEINDE STREET","ABUJA","ABUJA",9.0521089,7.4971386
6,"ABUJA-NNPC","NNPC TOWER, HERBERT MACAULAY WAY, GARKI, ABUJ","ABUJA","ABUJA",9.0546757,7.4849524
7,"ABULE-EGBA","633 LAGOS ABEOKUTA EXPRESSWAYS","ABULE - EGBA","LAGOS",6.5777567,3.3425968
8,"ADO EKITI","ADO EKITI - IYIN EXPRESS/SECRETARIAT ROAD","ADO EKITI","EKITI",7.6348013,5.2010854
9,"AFRIBANK STREET","CHURCHGATE BUILDING PC 30,AFRIBANK STREE","VICTORIA ISLAND","LAGOS",18.9322453,72.8264378
10,"AGBARA","AGBARA ESTATE SHOPPING COMPLEX AGBARA OGUN","AGBARA","OGUN",6.5098069,3.0892275
11,"AGODI GATE MINI","INAOLAJI BUSINESS COMPLEX, AGODI GATE,","AGODI","OYO",7.3979095,3.9207895
12,"AGUDA","1/3 ENITAN STREET, AGUDA, SURULERE","AGUDA, SURULERE","LAGOS",6.4962964,3.3418507
13,"AHMADU BELLO WAY","PLOT 149 AHMADU BELLO WAY, AREA 11 GARKI ABUJA","ABUJA","ABUJA",9.0356484,7.4985518
14,"AIRPORT ROAD - WARRI","23 OGUNU - AIRPORT ROAD, WARRI, WARRI","WARRI","DELTA",5.5418104,5.7557282
16,"AJOSE ADEOGUN BRANCH","290E, AJOSE ADEOGUN STREET","VICTORIA ISLAND","LAGOS",6.4314816,3.4374909
17,"AKOKA","100, FINBARR S ROAD AKOKA, YABA LAGOS","AKOKA, YABA","LAGOS",6.5317469,3.3884821
18,"AKURE","GREAT NIGERIA INSURANCE HOUSE","AKURE","ONDO",6.4578251,3.3861191
19,"ALABA","H48/H49 ALABA INTERNATIONAL MARKET","ALABA, LAGOS","LAGOS",6.4615245,3.1855269
